city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami Gardens,10,33054,2024-03-06T19:21:02.464Z,8,3121,6443,,,25.924802,165th,,eca969f01e6b9f47412b0760b74714b8,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62937229_zpid/,3121 NW 165th St Miami Gardens FL 33054,"[-80.252204, 25.924802]",62937229,,-80.252204,413100,2024-02-27T08:00:00.000Z,412100,8,,St,3599,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/eca969f01e6b9f47412b0760b74714b8
Miami Gardens,10,33056,2024-03-06T19:19:02.539Z,7,3250,3416,,,25.936733,179th,,f5c026b83c50d832d2a70d99a0b0757d,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62936150_zpid/,3250 NW 179th St Miami Gardens FL 33056,"[-80.254585, 25.936733]",62936150,,-80.254585,400800,2024-02-27T08:00:00.000Z,400800,10,,St,2963,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/f5c026b83c50d832d2a70d99a0b0757d
Miami Gardens,10,33054,2024-03-06T13:03:40.024Z,8,16235,6824,,,25.922246,28th,,e6875a3f7a3985970c54274665a7c36b,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44113047_zpid/,16235 NW 28th Ct Miami Gardens FL 33054,"[-80.24678, 25.922246]",44113047,,-80.24678,422400,2024-02-29T08:00:00.000Z,421400,9,,Ct,3499,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e6875a3f7a3985970c54274665a7c36b
Miami Gardens,11,33054,2024-03-06T13:04:45.080Z,9,2951,6423,,,25.923461,164th,,bd6f00ade02e5afbc6c6904775b69751,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44113615_zpid/,2951 NW 164th St Miami Gardens FL 33054,"[-80.249717, 25.923461]",44113615,,-80.249717,377600,2024-02-13T08:00:00.000Z,374300,17,,St,2999,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/bd6f00ade02e5afbc6c6904775b69751
North Miami,12,33168,2024-03-06T12:46:42.941Z,10,400,4031,,,25.899953,Opa Locka,,a09b7654fe16f093674bc53743148d66,FL,,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43970389_zpid/,400 Opa Locka Blvd North Miami FL 33168,"[-80.205482, 25.899953]",43970389,,-80.205482,410300,2024-02-29T08:00:00.000Z,411300,14,,Blvd,3499,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/a09b7654fe16f093674bc53743148d66
Miami Gardens,10,33056,2024-03-06T13:22:09.255Z,8,20515,1531,,,25.963056,24th,,e6093f0e391a106e6980552cc33c43bc,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44063932_zpid/,20515 NW 24th Ave Miami Gardens FL 33056,"[-80.241859, 25.963056]",44063932,,-80.241859,421300,2024-02-29T08:00:00.000Z,418500,8,,Ave,3499,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e6093f0e391a106e6980552cc33c43bc
Opa Locka,15,33054,2024-03-04T04:40:33.568Z,12,2460,4059,,,25.901819,140th,,5b639297ba7c1c6c725143fad662c02e,FL,NW,2024-02-29T08:00:00.000Z,https://www.zillow.com/homes/43996838_zpid/,2460 NW 140th St Opa Locka FL 33054,"[-80.240585, 25.901819]",43996838,,-80.240585,280500,2024-02-29T08:00:00.000Z,277834,5,,St,2299,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/5b639297ba7c1c6c725143fad662c02e
Miami Gardens,10,33054,2024-03-06T19:40:04.463Z,8,15330,2515,,,25.913785,31st,,bfc1e22d1aa177dc00843f77556a7cc2,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62937149_zpid/,15330 NW 31st Ave Miami Gardens FL 33054,"[-80.251594, 25.913785]",62937149,,-80.251594,380100,2024-02-20T08:00:00.000Z,380300,12,,Ave,3200,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/bfc1e22d1aa177dc00843f77556a7cc2
Miami Gardens,10,33054,2024-03-06T19:09:05.451Z,8,2951,6439,,,25.924884,165th,,f874a13681050c7ce6bba0bd21845602,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/62937274_zpid/,2951 NW 165th St Miami Gardens FL 33054,"[-80.249771, 25.924884]",62937274,,-80.249771,412200,2024-02-29T08:00:00.000Z,410000,10,,St,3200,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/f874a13681050c7ce6bba0bd21845602
Opa Locka,15,33054,2024-03-06T13:44:24.989Z,11,2550,,,,25.899477,Superior,,e0b0ee750a83e4e53255046cc54f640d,FL,E,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/43996656_zpid/,2550 E Superior St Opa Locka FL 33054,"[-80.241493, 25.899477]",43996656,,-80.241493,296800,2024-02-29T08:00:00.000Z,295200,8,,St,2600,19,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e0b0ee750a83e4e53255046cc54f640d
Miami Gardens,7,33056,2024-03-03T17:11:15.204Z,6,3531,1249,,,25.966539,209th,,54b854a6c5fb38ee88a245531b06bbd9,FL,NW,2024-02-24T08:00:00.000Z,https://www.zillow.com/homes/62933595_zpid/,3531 NW 209th Ter Miami Gardens FL 33056,"[-80.261238, 25.966539]",62933595,,-80.261238,497000,2024-02-29T08:00:00.000Z,487838,11,,Ter,3699,19,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/54b854a6c5fb38ee88a245531b06bbd9
Miami Gardens,10,33169,2024-03-06T13:00:24.351Z,8,17921,4316,,,25.939121,5th,,5533efbb4d4321e16c13785ef431821a,FL,NW,2024-03-04T08:00:00.000Z,https://www.zillow.com/homes/44109256_zpid/,17921 NW 5th Ave Miami Gardens FL 33169,"[-80.208793, 25.939121]",44109256,,-80.208793,410200,2024-01-23T08:00:00.000Z,409200,8,,Ave,2999,23,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/5533efbb4d4321e16c13785ef431821a
