city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami,17,33127,2024-05-21T07:19:48.868Z,16,5700,1512,,,25.827739,6th,,70f77f175e1526b6f1f2be3bca3cda4f,FL,NW,2024-05-18T07:00:00.000Z,https://www.zillow.com/homes/43807923_zpid/,5700 NW 6th Ave Miami FL 33127,"[-80.205986, 25.827739]",43807923,,-80.205986,234900,2024-05-07T07:00:00.000Z,230219,11,,Ave,2250,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/70f77f175e1526b6f1f2be3bca3cda4f
Miami,14,33150,2024-05-19T08:00:44.036Z,12,8202,2839,,,25.849891,5th,,fe00df069ad81a1fff5353b6c7ef34fa,FL,NW,2024-05-16T07:00:00.000Z,https://www.zillow.com/homes/44158191_zpid/,8202 NW 5th Ct Miami FL 33150,"[-80.206527, 25.849891]",44158191,,-80.206527,356800,2024-05-07T07:00:00.000Z,351819,10,,Ct,2900,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/fe00df069ad81a1fff5353b6c7ef34fa
Opa Locka,9,33054,2024-05-21T07:59:43.831Z,8,1045,3019,,,25.911108,Curtiss,,7768db69c5458921c743172669882e0c,FL,,2024-05-18T07:00:00.000Z,https://www.zillow.com/homes/43994986_zpid/,1045 Curtiss Dr Opa Locka FL 33054,"[-80.251403, 25.911108]",43994986,,-80.251403,429800,2024-05-07T07:00:00.000Z,421468,12,,Dr,3707,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/7768db69c5458921c743172669882e0c
Miami Gardens,8,33056,2024-05-21T12:40:40.189Z,7,3510,3940,,,25.933584,176th,,1c72a4708c4b4f6dbb33989e0821f029,FL,NW,2024-05-18T07:00:00.000Z,https://www.zillow.com/homes/62936198_zpid/,3510 NW 176th St Miami Gardens FL 33056,"[-80.259658, 25.933584]",62936198,,-80.259658,445800,2024-05-14T07:00:00.000Z,439590,14,,St,3499,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/1c72a4708c4b4f6dbb33989e0821f029
Miami Gardens,8,33056,2024-05-21T08:08:18.283Z,7,3411,4141,,,25.931241,172nd,,eb5dcfa542e83e311f76dbf95cd8de97,FL,NW,2024-05-18T07:00:00.000Z,https://www.zillow.com/homes/44106066_zpid/,3411 NW 172nd Ter Miami Gardens FL 33056,"[-80.257614, 25.931241]",44106066,,-80.257614,455300,2024-05-07T07:00:00.000Z,448587,12,,Ter,3520,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/eb5dcfa542e83e311f76dbf95cd8de97
Miami Gardens,8,33056,2024-05-21T08:08:27.052Z,7,17231,4113,,,25.931364,37th,,ddc43602094228a0c00db36fdcbef97c,FL,NW,2024-05-18T07:00:00.000Z,https://www.zillow.com/homes/44106160_zpid/,17231 NW 37th Ave Miami Gardens FL 33056,"[-80.260673, 25.931364]",44106160,,-80.260673,476900,2024-05-14T07:00:00.000Z,470587,16,,Ave,3814,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/ddc43602094228a0c00db36fdcbef97c
Miami,10,33167,2024-05-17T09:38:13.198Z,8,1711,1546,,,25.897865,135th,,81894871f6c0e1ce0fa36d26893bf6c0,FL,NW,2024-05-14T07:00:00.000Z,https://www.zillow.com/homes/43996214_zpid/,1711 NW 135th St Miami FL 33167,"[-80.227874, 25.897865]",43996214,,-80.227874,422100,2024-05-07T07:00:00.000Z,416061,13,,St,3727,8,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/81894871f6c0e1ce0fa36d26893bf6c0
Miami,9,33147,2024-05-21T07:58:44.064Z,8,9410,2718,,,25.859411,32nd,,870b6592534c31953e37505c93d57b92,FL,NW,2024-05-18T07:00:00.000Z,https://www.zillow.com/homes/44154066_zpid/,9410 NW 32nd Ct Miami FL 33147,"[-80.251655, 25.859411]",44154066,,-80.251655,439700,2024-02-29T08:00:00.000Z,432216,9,,Ct,3300,15,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/870b6592534c31953e37505c93d57b92
Miami Gardens,6,33056,2024-04-26T06:28:07.780Z,5,3520,3413,,,25.935838,178th,,6af0310e20935fcaa84da48b2cdb1eec,FL,NW,2024-04-24T07:00:00.000Z,https://www.zillow.com/homes/44105747_zpid/,3520 NW 178th St Miami Gardens FL 33056,"[-80.259666, 25.935838]",44105747,,-80.259666,500700,2024-04-02T07:00:00.000Z,491940,9,,St,3534,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6af0310e20935fcaa84da48b2cdb1eec
Miami Gardens,10,33056,2024-05-23T18:21:33.346Z,8,3540,1250,,,25.966047,209th,,075c26d220a1f0eaa9e5044d3c4f7139,FL,NW,2024-05-20T07:00:00.000Z,https://www.zillow.com/homes/44062156_zpid/,3540 NW 209th Ter Miami Gardens FL 33056,"[-80.26139, 25.966047]",44062156,,-80.26139,428600,2024-05-14T07:00:00.000Z,435706,15,,Ter,3620,25,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/075c26d220a1f0eaa9e5044d3c4f7139
