city,lowPercent,postalCode,BridgeModificationTimestamp,highPercent,houseNumber,zipPlusFour,unitNumber,directionSuffix,Latitude,streetName,unitPrefix,id,state,directionPrefix,timestamp,zillowUrl,address,Coordinates,zpid,forecastStandardDeviation,Longitude,zestimate,rentalTimestamp,minus30,rentalLowPercent,houseNumberFraction,streetSuffix,rentalZestimate,rentalHighPercent,url
Miami Gardens,8,33054,2024-02-20T17:24:02.753Z,7,15300,2417,,,25.913511,32nd,,db609ea2c1ba691b07a75d974844b16f,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937284_zpid/,15300 NW 32nd Pl Miami Gardens FL 33054,"[-80.253921, 25.913511]",62937284,,-80.253921,433200,2024-02-06T08:00:00.000Z,430483,7,,Pl,3350,7,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/db609ea2c1ba691b07a75d974844b16f
Miami,18,33142,2024-02-20T08:10:32.198Z,15,5535,2815,,,25.825399,30th,,82f98bb0fe8b931b4e70dae728037711,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44160521_zpid/,5535 NW 30th Ave Miami FL 33142,"[-80.244606, 25.825399]",44160521,,-80.244606,257900,2024-01-23T08:00:00.000Z,253766,15,,Ave,2314,17,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/82f98bb0fe8b931b4e70dae728037711
Miami Gardens,10,33056,2024-02-20T13:55:16.814Z,8,3250,3416,,,25.936733,179th,,f5c026b83c50d832d2a70d99a0b0757d,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936150_zpid/,3250 NW 179th St Miami Gardens FL 33056,"[-80.254585, 25.936733]",62936150,,-80.254585,405800,2024-02-06T08:00:00.000Z,402503,5,,St,2852,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/f5c026b83c50d832d2a70d99a0b0757d
Miami Gardens,10,33056,2024-02-20T14:14:05.153Z,8,3240,3951,,,25.935308,177th,,421b890d025ef4a06b7f273971952438,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936164_zpid/,3240 NW 177th Ter Miami Gardens FL 33056,"[-80.254348, 25.935308]",62936164,,-80.254348,400200,2024-02-13T08:00:00.000Z,395921,12,,Ter,2842,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/421b890d025ef4a06b7f273971952438
Opa Locka,11,33054,2024-02-20T05:48:27.898Z,8,840,2441,,,25.911209,Oriental,,e143f1667899f3a2a1f4d5c31d013272,FL,,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43994966_zpid/,840 Oriental Blvd Opa Locka FL 33054,"[-80.25492, 25.911209]",43994966,,-80.25492,355500,2024-01-31T08:00:00.000Z,348541,6,,Blvd,3099,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e143f1667899f3a2a1f4d5c31d013272
Miami Gardens,10,33054,2024-02-21T07:53:53.515Z,8,3121,6443,,,25.924802,165th,,eca969f01e6b9f47412b0760b74714b8,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937229_zpid/,3121 NW 165th St Miami Gardens FL 33054,"[-80.252204, 25.924802]",62937229,,-80.252204,413300,2024-02-20T08:00:00.000Z,410531,17,,St,3528,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/eca969f01e6b9f47412b0760b74714b8
Miami Gardens,10,33054,2024-02-21T01:17:07.533Z,8,16235,6824,,,25.922246,28th,,e6875a3f7a3985970c54274665a7c36b,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44113047_zpid/,16235 NW 28th Ct Miami Gardens FL 33054,"[-80.24678, 25.922246]",44113047,,-80.24678,425000,2024-02-20T08:00:00.000Z,422207,12,,Ct,3399,17,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e6875a3f7a3985970c54274665a7c36b
Miami Gardens,11,33054,2024-02-20T06:11:28.098Z,8,2951,6423,,,25.923461,164th,,bd6f00ade02e5afbc6c6904775b69751,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44113615_zpid/,2951 NW 164th St Miami Gardens FL 33054,"[-80.249717, 25.923461]",44113615,,-80.249717,378600,2024-02-13T08:00:00.000Z,374838,17,,St,2999,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/bd6f00ade02e5afbc6c6904775b69751
North Miami,12,33168,2024-02-20T05:02:35.930Z,10,400,4031,,,25.899953,Opa Locka,,a09b7654fe16f093674bc53743148d66,FL,,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43970389_zpid/,400 Opa Locka Blvd North Miami FL 33168,"[-80.205482, 25.899953]",43970389,,-80.205482,415600,2024-02-13T08:00:00.000Z,410672,14,,Blvd,3600,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/a09b7654fe16f093674bc53743148d66
Miami Gardens,11,33056,2024-02-21T01:11:29.316Z,8,20515,1531,,,25.963056,24th,,e6093f0e391a106e6980552cc33c43bc,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44063932_zpid/,20515 NW 24th Ave Miami Gardens FL 33056,"[-80.241859, 25.963056]",44063932,,-80.241859,425300,2024-02-20T08:00:00.000Z,419576,12,,Ave,3399,18,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e6093f0e391a106e6980552cc33c43bc
Miami Gardens,10,33054,2024-02-20T13:44:28.257Z,8,2951,6439,,,25.924884,165th,,f874a13681050c7ce6bba0bd21845602,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937274_zpid/,2951 NW 165th St Miami Gardens FL 33054,"[-80.249771, 25.924884]",62937274,,-80.249771,413800,2024-02-13T08:00:00.000Z,410583,14,,St,3043,11,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/f874a13681050c7ce6bba0bd21845602
Miami Gardens,10,33054,2024-02-20T16:21:14.500Z,8,15330,2515,,,25.913785,31st,,bfc1e22d1aa177dc00843f77556a7cc2,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937149_zpid/,15330 NW 31st Ave Miami Gardens FL 33054,"[-80.251594, 25.913785]",62937149,,-80.251594,383000,2024-02-06T08:00:00.000Z,380972,9,,Ave,3051,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/bfc1e22d1aa177dc00843f77556a7cc2
Opa Locka,14,33054,2024-02-21T00:48:19.771Z,11,2460,4059,,,25.901819,140th,,5b639297ba7c1c6c725143fad662c02e,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43996838_zpid/,2460 NW 140th St Opa Locka FL 33054,"[-80.240585, 25.901819]",43996838,,-80.240585,283500,2024-02-20T08:00:00.000Z,279448,12,,St,2394,6,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/5b639297ba7c1c6c725143fad662c02e
Opa Locka,14,33054,2024-02-21T01:04:02.547Z,10,2550,,,,25.899477,Superior,,e0b0ee750a83e4e53255046cc54f640d,FL,E,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43996656_zpid/,2550 E Superior St Opa Locka FL 33054,"[-80.241493, 25.899477]",43996656,,-80.241493,300300,2024-02-20T08:00:00.000Z,297531,9,,St,2614,17,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/e0b0ee750a83e4e53255046cc54f640d
Miami Gardens,9,33169,2024-02-20T05:46:45.543Z,8,930,4649,,,25.935907,176th,,44e022fdeed5472095dbf22d50589f25,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44109202_zpid/,930 NW 176th Ter Miami Gardens FL 33169,"[-80.217826, 25.935907]",44109202,,-80.217826,435600,2024-02-13T08:00:00.000Z,428755,10,,Ter,3300,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/44e022fdeed5472095dbf22d50589f25
Miami Gardens,10,33169,2024-02-20T05:56:12.962Z,8,17921,4316,,,25.939121,5th,,5533efbb4d4321e16c13785ef431821a,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44109256_zpid/,17921 NW 5th Ave Miami Gardens FL 33169,"[-80.208793, 25.939121]",44109256,,-80.208793,414200,2024-01-23T08:00:00.000Z,408797,8,,Ave,2999,23,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/5533efbb4d4321e16c13785ef431821a
Miami Gardens,6,33056,2024-02-20T13:37:13.677Z,6,3531,1249,,,25.966539,209th,,54b854a6c5fb38ee88a245531b06bbd9,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62933595_zpid/,3531 NW 209th Ter Miami Gardens FL 33056,"[-80.261238, 25.966539]",62933595,,-80.261238,495400,2024-01-16T08:00:00.000Z,488728,9,,Ter,3499,29,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/54b854a6c5fb38ee88a245531b06bbd9
Miami Gardens,11,33054,2024-02-20T13:45:07.140Z,9,2010,2811,,,25.913976,153rd,,6ccdb8239f1c3826fd77e146ab5e2e0e,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937053_zpid/,2010 NW 153rd St Miami Gardens FL 33054,"[-80.234443, 25.913976]",62937053,,-80.234443,383100,2024-02-13T08:00:00.000Z,381803,10,,St,3300,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6ccdb8239f1c3826fd77e146ab5e2e0e
Miami Gardens,10,33056,2024-02-20T14:22:49.639Z,7,3440,3452,,,25.940038,183rd,,acc249a9fa92cc450db4a39da82ed052,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936274_zpid/,3440 NW 183rd St Miami Gardens FL 33056,"[-80.258537, 25.940038]",62936274,,-80.258537,395900,2024-01-23T08:00:00.000Z,392152,10,,St,3099,6,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/acc249a9fa92cc450db4a39da82ed052
Miami Gardens,9,33055,2024-02-20T13:42:24.374Z,8,4390,3712,,,25.932071,174th,,540ad0d754da3c78edcee9a325c4381d,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62935928_zpid/,4390 NW 174th Dr Miami Gardens FL 33055,"[-80.272842, 25.932071]",62935928,,-80.272842,464400,2024-01-28T08:00:00.000Z,455807,10,,Dr,3499,14,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/540ad0d754da3c78edcee9a325c4381d
Miami Gardens,5,33054,2024-02-20T05:40:08.603Z,5,15211,2520,,,25.91278,32nd,,d58877d99e4a86821b24c87b442ce9c5,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44112804_zpid/,15211 NW 32nd Ave Miami Gardens FL 33054,"[-80.251853, 25.91278]",44112804,,-80.251853,480700,2024-01-16T08:00:00.000Z,475755,6,,Ave,3399,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/d58877d99e4a86821b24c87b442ce9c5
Opa Locka,12,33054,2024-02-21T01:05:26.908Z,10,910,3940,,,25.89845,Superior,,a6df3d20ed9480f1d3465f2119ff2d20,FL,,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/43995934_zpid/,910 Superior St Opa Locka FL 33054,"[-80.249267, 25.89845]",43995934,,-80.249267,406100,2024-02-20T08:00:00.000Z,401172,8,,St,3200,16,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/a6df3d20ed9480f1d3465f2119ff2d20
Miami,13,33168,2024-02-20T08:55:39.615Z,11,531,3246,,,25.87593,110th,,730a0f84d56d4413334a865a61933577,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44122119_zpid/,531 NW 110th St Miami FL 33168,"[-80.206932, 25.87593]",44122119,,-80.206932,382900,2024-01-31T08:00:00.000Z,379069,11,,St,3200,9,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/730a0f84d56d4413334a865a61933577
Miami,13,33167,2024-02-20T06:06:38.078Z,10,12845,1556,,,25.891992,Randall Park,,6f8887bb2a84173adb57c2f24c28dc6a,FL,E,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44117834_zpid/,12845 E Randall Park Dr Miami FL 33167,"[-80.227722, 25.891992]",44117834,,-80.227722,334000,2024-02-13T08:00:00.000Z,333148,5,,Dr,2663,15,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6f8887bb2a84173adb57c2f24c28dc6a
Miami Gardens,10,33054,2024-02-20T13:45:12.920Z,8,3000,2542,,,25.91212,151st,,6ee11bc4e1f28fa8919d1cdc7b20e5de,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62937147_zpid/,3000 NW 151st Ter Miami Gardens FL 33054,"[-80.250076, 25.91212]",62937147,,-80.250076,382100,2023-10-31T07:00:00.000Z,379407,7,,Ter,2999,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/6ee11bc4e1f28fa8919d1cdc7b20e5de
Miami,12,33167,2024-02-20T06:18:23.087Z,10,12720,1519,,,25.89072,18th,,10b189b610187e2cae73a830295e272e,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44117891_zpid/,12720 NW 18th Ct Miami FL 33167,"[-80.229766, 25.89072]",44117891,,-80.229766,366900,2024-02-06T08:00:00.000Z,365600,13,,Ct,3007,13,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/10b189b610187e2cae73a830295e272e
Miami,14,33168,2024-02-20T05:58:45.140Z,11,1121,6849,,,25.90476,142nd,,8ad020dc14cbb20375ecef561b85cc07,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/44114467_zpid/,1121 NW 142nd St Miami FL 33168,"[-80.218254, 25.90476]",44114467,,-80.218254,379000,2024-01-23T08:00:00.000Z,375890,12,,St,3200,10,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/8ad020dc14cbb20375ecef561b85cc07
Miami Gardens,12,33056,2024-02-20T13:36:04.932Z,9,2401,4531,,,25.929355,170th,,4c6b6f450deedaf516d7faba94396f5d,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936341_zpid/,2401 NW 170th St Miami Gardens FL 33056,"[-80.240806, 25.929355]",62936341,,-80.240806,430900,2023-12-12T08:00:00.000Z,422462,14,,St,3200,19,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/4c6b6f450deedaf516d7faba94396f5d
Miami Gardens,10,33056,2024-02-20T13:42:10.861Z,8,2445,4535,,,25.930036,170th,,d1960de85aed7e26a3b3224c1d845d6c,FL,NW,2024-02-18T08:00:00.000Z,https://www.zillow.com/homes/62936338_zpid/,2445 NW 170th Ter Miami Gardens FL 33056,"[-80.241882, 25.930036]",62936338,,-80.241882,420500,2024-02-13T08:00:00.000Z,414200,12,,Ter,3252,12,api.bridgedataoutput.com/api/v2/zestimates_v2/zestimates/d1960de85aed7e26a3b3224c1d845d6c
